Trinity_ID	CrabA_0	CrabA_2	CrabA_17	cluster	GO_ID	GOslim	biological_process	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN2567_c0_g1_i1	9	8	0	1	GO:0042262	stress response	P	sp	Q9H773	DCTP1_HUMAN	55.8	113	50	0	255	593	31	143	1.4e-28	127.9	DCTP1_HUMAN	reviewed	dCTP pyrophosphatase 1 (EC 3.6.1.12) (Deoxycytidine-triphosphatase 1) (dCTPase 1) (RS21C6) (XTP3-transactivated gene A protein)	DCTPP1 XTP3TPA CDA03	Homo sapiens (Human)	170	dCTP catabolic process [GO:0006253]; DNA protection [GO:0042262]; nucleoside triphosphate catabolic process [GO:0009143]; protein homotetramerization [GO:0051289]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	dCTP diphosphatase activity [GO:0047840]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; pyrimidine deoxyribonucleotide binding [GO:0032556]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; dCTP diphosphatase activity [GO:0047840]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; pyrimidine deoxyribonucleotide binding [GO:0032556]; dCTP catabolic process [GO:0006253]; DNA protection [GO:0042262]; nucleoside triphosphate catabolic process [GO:0009143]; protein homotetramerization [GO:0051289]	GO:0000287; GO:0005634; GO:0005739; GO:0005829; GO:0006253; GO:0009143; GO:0032556; GO:0042262; GO:0042802; GO:0047429; GO:0047840; GO:0051289
TRINITY_DN5804_c0_g1_i1	14	0	0	3	GO:0001666	stress response	P	sp	O55003	BNIP3_MOUSE	29.2	185	108	3	402	938	12	179	8e-10	67.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5804_c0_g1_i1	14	0	0	3	GO:0016239	stress response	P	sp	O55003	BNIP3_MOUSE	29.2	185	108	3	402	938	12	179	8e-10	67.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5804_c0_g1_i1	14	0	0	3	GO:0051607	stress response	P	sp	O55003	BNIP3_MOUSE	29.2	185	108	3	402	938	12	179	8e-10	67.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5804_c0_g1_i1	14	0	0	3	GO:0055093	stress response	P	sp	O55003	BNIP3_MOUSE	29.2	185	108	3	402	938	12	179	8e-10	67.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5804_c0_g1_i1	14	0	0	3	GO:0070301	stress response	P	sp	O55003	BNIP3_MOUSE	29.2	185	108	3	402	938	12	179	8e-10	67.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7951_c0_g1_i1	0	1	0	2	GO:0043403	stress response	P	sp	Q5S1U6	IFRD1_PIG	37	395	236	6	265	1440	60	444	1.4e-51	205.7	IFRD1_PIG	reviewed	Interferon-related developmental regulator 1	IFRD1	Sus scrofa (Pig)	450	muscle cell differentiation [GO:0042692]; negative regulation of axon extension [GO:0030517]; negative regulation of collateral sprouting [GO:0048671]; skeletal muscle tissue regeneration [GO:0043403]; striated muscle tissue development [GO:0014706]	cytoplasm [GO:0005737]; nucleus [GO:0005634]		cytoplasm [GO:0005737]; nucleus [GO:0005634]; muscle cell differentiation [GO:0042692]; negative regulation of axon extension [GO:0030517]; negative regulation of collateral sprouting [GO:0048671]; skeletal muscle tissue regeneration [GO:0043403]; striated muscle tissue development [GO:0014706]	GO:0005634; GO:0005737; GO:0014706; GO:0030517; GO:0042692; GO:0043403; GO:0048671
TRINITY_DN6864_c0_g1_i1	8	3	0	3	GO:0009611	stress response	P	sp	P00787	CATB_RAT	42.2	166	89	3	3	488	166	328	3.3e-34	147.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN616_c0_g1_i8	1	0	23	4	GO:0006975	stress response	P	sp	P97784	CRY1_MOUSE	56.3	378	163	2	355	1482	3	380	7.4e-129	463.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN616_c0_g1_i8	1	0	23	4	GO:0006975	stress response	P	sp	P97784	CRY1_MOUSE	54.7	117	53	0	1502	1852	373	489	6.2e-35	151.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN616_c0_g1_i8	1	0	23	4	GO:0006975	stress response	P	sp	P97784	CRY1_MOUSE	56.3	378	163	2	355	1482	3	380	7.4e-129	463.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN616_c0_g1_i8	1	0	23	4	GO:0006975	stress response	P	sp	P97784	CRY1_MOUSE	54.7	117	53	0	1502	1852	373	489	6.2e-35	151.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN47_c0_g1_i2	377	301	86	1	GO:0000303	stress response	P	sp	Q8HXQ3	SODC_HYLLA	55.6	133	57	1	216	614	20	150	1.1e-34	148.7	SODC_HYLLA	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1	Hylobates lar (Common gibbon) (White-handed gibbon)	154	activation of MAPK activity [GO:0000187]; apoptotic DNA fragmentation [GO:0006309]; auditory receptor cell stereocilium organization [GO:0060088]; cell aging [GO:0007569]; cellular iron ion homeostasis [GO:0006879]; double-strand break repair [GO:0006302]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of protein kinase activity [GO:0045859]; relaxation of vascular smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide metabolic process [GO:0006801]; transmission of nerve impulse [GO:0019226]	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; protein complex [GO:0043234]	chaperone binding [GO:0051087]; copper ion binding [GO:0005507]; protein phosphatase 2B binding [GO:0030346]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; protein complex [GO:0043234]; chaperone binding [GO:0051087]; copper ion binding [GO:0005507]; protein phosphatase 2B binding [GO:0030346]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270]; activation of MAPK activity [GO:0000187]; apoptotic DNA fragmentation [GO:0006309]; auditory receptor cell stereocilium organization [GO:0060088]; cell aging [GO:0007569]; cellular iron ion homeostasis [GO:0006879]; double-strand break repair [GO:0006302]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of protein kinase activity [GO:0045859]; relaxation of vascular smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide metabolic process [GO:0006801]; transmission of nerve impulse [GO:0019226]	GO:0000187; GO:0000303; GO:0001541; GO:0001819; GO:0001895; GO:0002262; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006302; GO:0006309; GO:0006749; GO:0006801; GO:0006879; GO:0007283; GO:0007566; GO:0007569; GO:0007605; GO:0007626; GO:0008217; GO:0008270; GO:0009408; GO:0010033; GO:0019226; GO:0019430; GO:0030346; GO:0031012; GO:0031410; GO:0032287; GO:0032839; GO:0040014; GO:0042493; GO:0042542; GO:0043025; GO:0043085; GO:0043234; GO:0043524; GO:0045471; GO:0045541; GO:0045859; GO:0046716; GO:0048678; GO:0050665; GO:0051087; GO:0051881; GO:0060047; GO:0060052; GO:0060087; GO:0060088; GO:0072593
TRINITY_DN47_c0_g1_i2	377	301	86	1	GO:0006302	stress response	P	sp	Q8HXQ3	SODC_HYLLA	55.6	133	57	1	216	614	20	150	1.1e-34	148.7	SODC_HYLLA	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1	Hylobates lar (Common gibbon) (White-handed gibbon)	154	activation of MAPK activity [GO:0000187]; apoptotic DNA fragmentation [GO:0006309]; auditory receptor cell stereocilium organization [GO:0060088]; cell aging [GO:0007569]; cellular iron ion homeostasis [GO:0006879]; double-strand break repair [GO:0006302]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of protein kinase activity [GO:0045859]; relaxation of vascular smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide metabolic process [GO:0006801]; transmission of nerve impulse [GO:0019226]	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; protein complex [GO:0043234]	chaperone binding [GO:0051087]; copper ion binding [GO:0005507]; protein phosphatase 2B binding [GO:0030346]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; protein complex [GO:0043234]; chaperone binding [GO:0051087]; copper ion binding [GO:0005507]; protein phosphatase 2B binding [GO:0030346]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270]; activation of MAPK activity [GO:0000187]; apoptotic DNA fragmentation [GO:0006309]; auditory receptor cell stereocilium organization [GO:0060088]; cell aging [GO:0007569]; cellular iron ion homeostasis [GO:0006879]; double-strand break repair [GO:0006302]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of protein kinase activity [GO:0045859]; relaxation of vascular smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide metabolic process [GO:0006801]; transmission of nerve impulse [GO:0019226]	GO:0000187; GO:0000303; GO:0001541; GO:0001819; GO:0001895; GO:0002262; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006302; GO:0006309; GO:0006749; GO:0006801; GO:0006879; GO:0007283; GO:0007566; GO:0007569; GO:0007605; GO:0007626; GO:0008217; GO:0008270; GO:0009408; GO:0010033; GO:0019226; GO:0019430; GO:0030346; GO:0031012; GO:0031410; GO:0032287; GO:0032839; GO:0040014; GO:0042493; GO:0042542; GO:0043025; GO:0043085; GO:0043234; GO:0043524; GO:0045471; GO:0045541; GO:0045859; GO:0046716; GO:0048678; GO:0050665; GO:0051087; GO:0051881; GO:0060047; GO:0060052; GO:0060087; GO:0060088; GO:0072593
