Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN11036_c5_g1_i1	79037.06239	-1.099609751	0.255977102	-4.295734816	1.74e-05	0.001096745	sp	Q5DU56	NLRC3_MOUSE	89.7	29	3	0	1382	1468	1	29	4.4e-08	61.6	NLRC3_MOUSE	reviewed	Protein NLRC3	Nlrc3	Mus musculus (Mouse)	1064	I-kappaB kinase/NF-kappaB signaling [GO:0007249]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; regulation of protein ubiquitination [GO:0031396]; response to lipopolysaccharide [GO:0032496]; T cell activation [GO:0042110]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]	ATP binding [GO:0005524]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; regulation of protein ubiquitination [GO:0031396]; response to lipopolysaccharide [GO:0032496]; T cell activation [GO:0042110]	GO:0005524; GO:0005737; GO:0005815; GO:0005829; GO:0007249; GO:0014067; GO:0031396; GO:0032088; GO:0032496; GO:0032687; GO:0032688; GO:0032691; GO:0032695; GO:0032715; GO:0032720; GO:0036312; GO:0042110; GO:0043124; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
TRINITY_DN11127_c0_g1_i1	3250.15918	-0.389235512	0.126916536	-3.066862094	0.002163186	0.036100784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1116_c0_g1_i5	1230.030168	1.045147467	0.236785616	4.41389761	1.02e-05	0.000690377	sp	Q61838	PZP_MOUSE	35.8	860	478	19	97	2526	659	1494	5.5e-136	486.9	PZP_MOUSE	reviewed	Pregnancy zone protein (Alpha-2-macroglobulin) (Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit]	Pzp A2m	Mus musculus (Mouse)	1495	embryo implantation [GO:0007566]	extracellular region [GO:0005576]; extracellular space [GO:0005615]	brain-derived neurotrophic factor binding [GO:0048403]; endopeptidase inhibitor activity [GO:0004866]; nerve growth factor binding [GO:0048406]; protein complex binding [GO:0032403]; serine-type endopeptidase inhibitor activity [GO:0004867]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; brain-derived neurotrophic factor binding [GO:0048403]; endopeptidase inhibitor activity [GO:0004866]; nerve growth factor binding [GO:0048406]; protein complex binding [GO:0032403]; serine-type endopeptidase inhibitor activity [GO:0004867]; embryo implantation [GO:0007566]	GO:0004866; GO:0004867; GO:0005576; GO:0005615; GO:0007566; GO:0032403; GO:0048403; GO:0048406
TRINITY_DN1124_c0_g1_i1	642.270188	-1.046953134	0.219615157	-4.767217105	1.87e-06	0.000180281	sp	A6QR31	FA32A_BOVIN	80.5	41	8	0	154	276	72	112	1.8e-13	77.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN113_c0_g2_i7	782.2870504	-0.610586466	0.208714237	-2.9254663	0.003439404	0.049003322	sp	Q3T106	SRSF7_BOVIN	40.7	108	59	1	861	553	12	119	4.4e-17	90.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1136_c0_g1_i1	743.5344657	-0.605267414	0.188527053	-3.210506945	0.001325011	0.02529955	sp	Q7ZV34	MCTS1_DANRE	67.2	183	58	2	89	637	1	181	1e-67	258.1	MCTS1_DANRE	reviewed	Malignant T-cell-amplified sequence 1 (MCT-1)	mcts1 zgc:56242	Danio rerio (Zebrafish) (Brachydanio rerio)	181	cell cycle [GO:0007049]; formation of translation preinitiation complex [GO:0001731]; regulation of growth [GO:0040008]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; translation reinitiation [GO:0002188]	cytosolic small ribosomal subunit [GO:0022627]	RNA binding [GO:0003723]	cytosolic small ribosomal subunit [GO:0022627]; RNA binding [GO:0003723]; cell cycle [GO:0007049]; formation of translation preinitiation complex [GO:0001731]; regulation of growth [GO:0040008]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; translation reinitiation [GO:0002188]	GO:0001731; GO:0002188; GO:0003723; GO:0006351; GO:0006355; GO:0007049; GO:0022627; GO:0040008
TRINITY_DN1139_c0_g1_i1	2290.477477	0.3977094	0.134563897	2.955543124	0.003121191	0.04640658	sp	A8BQB4	GDE_HORSE	51.1	1558	715	21	209	4831	6	1533	0	1528.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN114_c0_g1_i2	402253.8665	-0.622234365	0.111186654	-5.596304452	2.19e-08	4.37e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1140_c0_g1_i4	421.2745564	0.83066051	0.266385052	3.11826998	0.001819161	0.031998085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN116_c0_g1_i1	933.6962498	-0.733753878	0.248884039	-2.948175711	0.003196553	0.04688278	sp	Q5F480	ITPK1_CHICK	40.5	328	188	4	1293	322	2	326	5.1e-67	256.9	ITPK1_CHICK	reviewed	Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134) (Inositol 1,3,4-trisphosphate 5/6-kinase) (Inositol-triphosphate 5/6-kinase) (Ins(1,3,4)P(3) 5/6-kinase) (EC 2.7.1.159)	ITPK1 RCJMB04_2g4	Gallus gallus (Chicken)	407	inositol trisphosphate metabolic process [GO:0032957]	intracellular [GO:0005622]	ATP binding [GO:0005524]; inositol-1,3,4-trisphosphate 5-kinase activity [GO:0052726]; inositol-1,3,4-trisphosphate 6-kinase activity [GO:0052725]; inositol tetrakisphosphate 1-kinase activity [GO:0047325]; isomerase activity [GO:0016853]; magnesium ion binding [GO:0000287]	intracellular [GO:0005622]; ATP binding [GO:0005524]; inositol tetrakisphosphate 1-kinase activity [GO:0047325]; inositol-1,3,4-trisphosphate 5-kinase activity [GO:0052726]; inositol-1,3,4-trisphosphate 6-kinase activity [GO:0052725]; isomerase activity [GO:0016853]; magnesium ion binding [GO:0000287]; inositol trisphosphate metabolic process [GO:0032957]	GO:0000287; GO:0005524; GO:0005622; GO:0016853; GO:0032957; GO:0047325; GO:0052725; GO:0052726
TRINITY_DN1167_c0_g1_i3	319.7006333	1.650981625	0.317663507	5.197265627	2.02e-07	2.52e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1167_c0_g1_i7	182.9153681	-4.755119458	0.577717423	-8.230874242	1.86e-16	1.59e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11674_c0_g1_i1	17427.03734	-0.644969244	0.186926446	-3.450390551	0.000559776	0.014627512	sp	B0BN93	PSD13_RAT	49.1	375	189	2	116	1240	4	376	2.7e-98	360.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11721_c0_g1_i1	3243.63594	-1.51926116	0.223914207	-6.785014588	1.16e-11	5.79e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1191_c0_g1_i1	734.1995231	0.637416866	0.186617893	3.415625672	0.000636357	0.015931432	sp	Q94545	ASH2_DROME	54.4	559	223	12	302	1936	12	552	5.7e-172	605.9	ASH2_DROME	reviewed	Set1/Ash2 histone methyltransferase complex subunit ASH2 (Absent, small, or homeotic discs protein 2)	ash2 CG6677	Drosophila melanogaster (Fruit fly)	556	brain development [GO:0007420]; chromatin-mediated maintenance of transcription [GO:0048096]; dendrite morphogenesis [GO:0048813]; histone H3-K4 methylation [GO:0051568]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; imaginal disc development [GO:0007444]; instar larval development [GO:0002168]; negative regulation of gene expression [GO:0010629]; negative regulation of histone phosphorylation [GO:0033128]; positive regulation of gene expression [GO:0010628]; positive regulation of histone H3-K4 methylation [GO:0051571]; pupal development [GO:0035209]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to ecdysone [GO:0035075]; transcription, DNA-templated [GO:0006351]	MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; polytene chromosome puff [GO:0005703]; Set1C/COMPASS complex [GO:0048188]	DNA binding [GO:0003677]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; transcription regulatory region DNA binding [GO:0044212]	MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; polytene chromosome puff [GO:0005703]; Set1C/COMPASS complex [GO:0048188]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; transcription regulatory region DNA binding [GO:0044212]; brain development [GO:0007420]; chromatin-mediated maintenance of transcription [GO:0048096]; dendrite morphogenesis [GO:0048813]; histone H3-K4 methylation [GO:0051568]; imaginal disc development [GO:0007444]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein specification [GO:0007474]; instar larval development [GO:0002168]; negative regulation of gene expression [GO:0010629]; negative regulation of histone phosphorylation [GO:0033128]; positive regulation of gene expression [GO:0010628]; positive regulation of histone H3-K4 methylation [GO:0051571]; pupal development [GO:0035209]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to ecdysone [GO:0035075]; transcription, DNA-templated [GO:0006351]	GO:0002168; GO:0003677; GO:0005634; GO:0005700; GO:0005703; GO:0006351; GO:0006357; GO:0007420; GO:0007444; GO:0007474; GO:0007476; GO:0010628; GO:0010629; GO:0019899; GO:0033128; GO:0035075; GO:0035209; GO:0044212; GO:0044665; GO:0044666; GO:0046872; GO:0048096; GO:0048188; GO:0048813; GO:0051568; GO:0051571
TRINITY_DN1202_c0_g1_i1	702.1174615	-0.771821743	0.208232505	-3.70653825	0.000210112	0.007616221	sp	Q16698	DECR_HUMAN	64.5	299	106	0	295	1191	32	330	2.2e-104	380.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12115_c1_g1_i1	10746.76256	-0.370378252	0.112136482	-3.302923772	0.000956824	0.02067016	sp	P08991	H2AV_STRPU	100	123	0	0	68	436	1	123	7.1e-61	235.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12172_c0_g1_i1	341.352754	-1.19850922	0.358685876	-3.341389502	0.000833602	0.019059143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12172_c0_g1_i2	1006.409657	-0.956527935	0.176984998	-5.404570707	6.5e-08	1.02e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1232_c0_g1_i1	984.3198447	-0.866813009	0.189734871	-4.568548764	4.91e-06	0.000386687	sp	Q6P5L8	HSDL2_DANRE	64.1	418	143	4	1810	560	4	415	2.4e-150	533.9	HSDL2_DANRE	reviewed	Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-)	hsdl2	Danio rerio (Zebrafish) (Brachydanio rerio)	415		peroxisome [GO:0005777]	oxidoreductase activity [GO:0016491]	peroxisome [GO:0005777]; oxidoreductase activity [GO:0016491]	GO:0005777; GO:0016491
TRINITY_DN1232_c0_g1_i2	192.5072888	1.617110556	0.485906253	3.328029937	0.000874625	0.019528933	sp	Q6P5L8	HSDL2_DANRE	64.1	418	143	4	1798	548	4	415	2.4e-150	533.9	HSDL2_DANRE	reviewed	Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-)	hsdl2	Danio rerio (Zebrafish) (Brachydanio rerio)	415		peroxisome [GO:0005777]	oxidoreductase activity [GO:0016491]	peroxisome [GO:0005777]; oxidoreductase activity [GO:0016491]	GO:0005777; GO:0016491
TRINITY_DN1242_c0_g1_i10	308.4360816	1.278813987	0.276086153	4.631938159	3.62e-06	0.000309679	sp	W5PFI3	NNTM_SHEEP	63.8	1094	367	7	120	3344	1	1084	0	1312.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12443_c0_g1_i1	5973.190028	-0.638360881	0.187847713	-3.398289334	0.000678087	0.016427816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1246_c0_g1_i1	1124.126661	0.661020841	0.173312142	3.814048063	0.000136709	0.005777759	sp	Q8T498	GAP2_DROME	40.8	591	297	14	1685	9	270	839	5.5e-102	373.2	GAP2_DROME	reviewed	Probable Ras GTPase-activating protein	CG42684	Drosophila melanogaster (Fruit fly)	1580	inter-male aggressive behavior [GO:0002121]; negative regulation of Ras protein signal transduction [GO:0046580]; signal transduction [GO:0007165]	apical cortex [GO:0045179]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]	GTPase activator activity [GO:0005096]	apical cortex [GO:0045179]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; GTPase activator activity [GO:0005096]; inter-male aggressive behavior [GO:0002121]; negative regulation of Ras protein signal transduction [GO:0046580]; signal transduction [GO:0007165]	GO:0002121; GO:0005096; GO:0007165; GO:0031235; GO:0045179; GO:0046580
TRINITY_DN1249_c0_g1_i5	1351.905092	0.967327087	0.209477686	4.617804907	3.88e-06	0.000318418	sp	Q9VZI3	UN112_DROME	58.8	716	249	15	2258	213	4	707	3.7e-231	802.7	UN112_DROME	reviewed	Unc-112-related protein (Fermitin-1)	Fit1 CG14991	Drosophila melanogaster (Fruit fly)	708	cardiac muscle tissue development [GO:0048738]; cell-matrix adhesion [GO:0007160]; defense response to Gram-negative bacterium [GO:0050829]	cytoplasm [GO:0005737]	cell adhesion molecule binding [GO:0050839]	cytoplasm [GO:0005737]; cell adhesion molecule binding [GO:0050839]; cardiac muscle tissue development [GO:0048738]; cell-matrix adhesion [GO:0007160]; defense response to Gram-negative bacterium [GO:0050829]	GO:0005737; GO:0007160; GO:0048738; GO:0050829; GO:0050839
TRINITY_DN1257_c0_g2_i2	775.1335084	0.994498324	0.181951898	5.465721077	4.61e-08	7.88e-06	sp	Q4R502	IDHP_MACFA	71.9	427	117	3	1685	411	24	449	4e-182	639.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1257_c0_g2_i3	608.7829409	2.0145575	0.603329446	3.339067095	0.000840603	0.019068007	sp	Q4R502	IDHP_MACFA	71.9	427	117	3	1685	411	24	449	1.2e-181	637.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1282_c0_g2_i2	2509.208004	0.419346045	0.136996176	3.061005464	0.002205951	0.036293446	sp	Q627N3	GLC7B_CAEBR	92	249	18	1	1135	395	81	329	2.7e-139	496.9	GLC7B_CAEBR	reviewed	Serine/threonine-protein phosphatase PP1-beta (EC 3.1.3.16) (Glc seven-like phosphatase 2)	gsp-2 CBG00598	Caenorhabditis briggsae	333	cell division [GO:0051301]; covalent chromatin modification [GO:0016569]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; peptidyl-serine dephosphorylation [GO:0070262]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; cell division [GO:0051301]; covalent chromatin modification [GO:0016569]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; peptidyl-serine dephosphorylation [GO:0070262]	GO:0004722; GO:0005694; GO:0005737; GO:0007275; GO:0016569; GO:0031965; GO:0046872; GO:0051301; GO:0051321; GO:0070262
TRINITY_DN1282_c0_g2_i2	2509.208004	0.419346045	0.136996176	3.061005464	0.002205951	0.036293446	sp	Q627N3	GLC7B_CAEBR	87.7	81	10	0	1371	1129	2	82	1.9e-36	155.2	GLC7B_CAEBR	reviewed	Serine/threonine-protein phosphatase PP1-beta (EC 3.1.3.16) (Glc seven-like phosphatase 2)	gsp-2 CBG00598	Caenorhabditis briggsae	333	cell division [GO:0051301]; covalent chromatin modification [GO:0016569]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; peptidyl-serine dephosphorylation [GO:0070262]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; cell division [GO:0051301]; covalent chromatin modification [GO:0016569]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; peptidyl-serine dephosphorylation [GO:0070262]	GO:0004722; GO:0005694; GO:0005737; GO:0007275; GO:0016569; GO:0031965; GO:0046872; GO:0051301; GO:0051321; GO:0070262
