Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN22802_c0_g1_i1	0	45	0	134	42.88320247	-8.923440939	1.905884564	-4.682046914	2.84e-06	0.000338665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5033_c0_g1_i4	0	21	0	65	20.57237117	-7.863866683	2.234819707	-3.518792436	0.000433516	0.013919539	sp	O82514	KAD4_ARATH	38.6	220	122	4	154	807	37	245	3.1e-36	155.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7516_c0_g1_i4	0	15	0	73	20.72924566	-7.875096143	2.292681641	-3.434884286	0.000592807	0.017272973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5971_c1_g1_i5	0	42	0	28	17.97930094	-7.667656101	2.281702245	-3.360498119	0.000778021	0.020593233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN19890_c5_g1_i1	0	392	0	429	205.8859494	-11.18577506	1.564197122	-7.151128779	8.61e-13	3.15e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN35979_c0_g1_i2	0	21	0	48	16.71146427	-7.56372408	2.332122457	-3.243279124	0.001181624	0.027642121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN13344_c0_g1_i1	0	43	0	101	34.83515988	-8.623417785	1.951849777	-4.41807453	9.96e-06	0.000855274	sp	Q9FPS4	UBP23_ARATH	34.5	177	94	7	159	635	108	280	3.1e-12	75.1	UBP23_ARATH	reviewed	Ubiquitin carboxyl-terminal hydrolase 23 (EC 3.4.19.12) (Deubiquitinating enzyme 23) (AtUBP23) (Ubiquitin thioesterase 23) (Ubiquitin-specific-processing protease 23)	UBP23 At5g57990 MTI20.25	Arabidopsis thaliana (Mouse-ear cress)	859	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]		thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]	thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0016579; GO:0036459
TRINITY_DN24310_c0_g1_i1	0	22	0	96	27.88951894	-8.303035095	2.126424053	-3.904693932	9.43e-05	0.004588889	sp	O75179	ANR17_HUMAN	28	525	346	11	1705	3252	219	720	1.9e-29	133.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN21903_c0_g1_i3	0	12	0	96	25.12281415	-8.152486525	2.271754721	-3.588629727	0.000332421	0.011586443	sp	O13834	PTR1_SCHPO	27.9	377	226	8	2531	3637	2879	3217	1.2e-31	140.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12004_c0_g1_i1	0	24	0	76	23.90061649	-8.080205994	2.156158216	-3.747501428	0.000178605	0.007363508	sp	Q68FF0	K1841_MOUSE	35.4	370	203	11	89	1111	102	464	3.8e-57	224.2	K1841_MOUSE	reviewed	Uncharacterized protein KIAA1841	Kiaa1841	Mus musculus (Mouse)	718					
TRINITY_DN14237_c0_g3_i3	0	20	0	43	15.29923294	-7.436279243	2.387962004	-3.114069332	0.001845261	0.037492834	sp	Q54QE6	SIR2A_DICDI	49.1	281	132	6	1226	2056	238	511	1.6e-66	255.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1920_c0_g1_i11	0	31	0	48	19.47816907	-7.784270599	2.209713229	-3.522751502	0.000427092	0.013821675	sp	A4UHC0	CALM_ALEFU	100	149	0	0	69	515	1	149	9.6e-79	295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1229_c0_g1_i21	0	10	0	114	28.65749226	-8.342349223	2.270489682	-3.674251106	0.000238548	0.009028437	sp	Q5ZIQ3	HNRPK_CHICK	44.8	402	170	11	696	1754	23	421	2.8e-54	214.9	HNRPK_CHICK	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	HNRNPK HNRPK RCJMB04_24e23	Gallus gallus (Chicken)	427	mRNA processing [GO:0006397]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]	DNA binding [GO:0003677]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]	GO:0003677; GO:0003723; GO:0005654; GO:0005681; GO:0005737; GO:0006351; GO:0006357; GO:0006397; GO:0008380
TRINITY_DN52_c0_g1_i12	0	34	0	32	16.67438578	-7.559372242	2.310134064	-3.272265606	0.001066893	0.02586433	sp	Q9SZX9	RL92_ARATH	55.5	191	80	2	27	584	1	191	6.4e-52	205.7	RL92_ARATH	reviewed	60S ribosomal protein L9-2	RPL9D At4g10450 F7L13.30	Arabidopsis thaliana (Mouse-ear cress)	194	cytoplasmic translation [GO:0002181]; mature ribosome assembly [GO:0042256]; ribosome assembly [GO:0042255]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; polysomal ribosome [GO:0042788]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; polysomal ribosome [GO:0042788]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; mature ribosome assembly [GO:0042256]; ribosome assembly [GO:0042255]	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625; GO:0022626; GO:0042255; GO:0042256; GO:0042788
TRINITY_DN2405_c0_g2_i1	0	8	0	80	20.38233749	-7.850906892	2.416746465	-3.248543861	0.001159973	0.027419416	sp	Q9LWM4	CIPK5_ORYSJ	30.9	152	93	5	307	750	11	154	4e-07	58.2	CIPK5_ORYSJ	reviewed	CBL-interacting protein kinase 5 (EC 2.7.11.1) (OsCIPK05)	CIPK5 Os01g0206700 LOC_Os01g10890 OsJ_000797 OSJNBa0016I09.5 P0451C06.36	Oryza sativa subsp. japonica (Rice)	461	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]	cytosol [GO:0005829]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]	GO:0004674; GO:0005524; GO:0005829; GO:0018105; GO:0018107; GO:0035556
TRINITY_DN14191_c0_g1_i2	0	19	0	57	18.20213285	-7.687252877	2.304408788	-3.335889411	0.00085027	0.022030777	sp	Q9VAI0	GNA1_DROME	33.8	130	83	1	167	547	44	173	1.4e-16	88.2	GNA1_DROME	reviewed	Probable glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)	CG1969	Drosophila melanogaster (Fruit fly)	219	UDP-N-acetylglucosamine biosynthetic process [GO:0006048]		glucosamine 6-phosphate N-acetyltransferase activity [GO:0004343]	glucosamine 6-phosphate N-acetyltransferase activity [GO:0004343]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	GO:0004343; GO:0006048
TRINITY_DN14982_c0_g1_i1	0	20	0	49	16.66190596	-7.559513419	2.340325527	-3.230111936	0.001237418	0.028388713	sp	Q1RK13	Y220_RICBR	29	248	160	7	777	1475	354	600	1e-08	63.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN46552_c0_g1_i4	0	41	0	85	30.64802419	-8.438551941	1.992547047	-4.235057813	2.28e-05	0.00159022	sp	Q9TZM3	LRK1_CAEEL	32.4	2433	1185	61	641	7735	351	2391	0	1086.2	LRK1_CAEEL	reviewed	Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1) (Leucine-rich repeats, ras-like domain, kinase protein 1) (PARK8-related kinase)	lrk-1 T27C10.6	Caenorhabditis elegans	2393	axon extension involved in axon guidance [GO:0048846]; cellular protein localization [GO:0034613]; intracellular signal transduction [GO:0035556]; negative regulation of neuron death [GO:1901215]; response to endoplasmic reticulum stress [GO:0034976]; response to oxidative stress [GO:0006979]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle transport [GO:0048489]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; synapse [GO:0045202]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; signal transducer activity [GO:0004871]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; synapse [GO:0045202]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; signal transducer activity [GO:0004871]; axon extension involved in axon guidance [GO:0048846]; cellular protein localization [GO:0034613]; intracellular signal transduction [GO:0035556]; negative regulation of neuron death [GO:1901215]; response to endoplasmic reticulum stress [GO:0034976]; response to oxidative stress [GO:0006979]; small GTPase mediated signal transduction [GO:0007264]; synaptic vesicle transport [GO:0048489]	GO:0004674; GO:0004871; GO:0005524; GO:0005525; GO:0005737; GO:0005794; GO:0006979; GO:0007264; GO:0034613; GO:0034976; GO:0035556; GO:0043025; GO:0045202; GO:0046872; GO:0048489; GO:0048846; GO:1901215
TRINITY_DN6754_c0_g1_i2	0	62	0	134	47.58660063	-9.073325854	1.836501756	-4.940548424	7.79e-07	0.000131968	sp	Q8R3Q2	PP6R2_MOUSE	21.3	470	289	13	210	1562	20	427	1.5e-18	96.7	PP6R2_MOUSE	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)	Ppp6r2 Kiaa0685 Pp6r2 Saps2	Mus musculus (Mouse)	923	regulation of phosphoprotein phosphatase activity [GO:0043666]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]	protein phosphatase binding [GO:0019903]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; protein phosphatase binding [GO:0019903]; regulation of phosphoprotein phosphatase activity [GO:0043666]	GO:0005829; GO:0019903; GO:0043231; GO:0043666
TRINITY_DN14192_c0_g1_i2	0	15	0	54	16.41411442	-7.538237179	2.393186395	-3.149874659	0.001633405	0.034186844	sp	P83564	GPX1_CHLRE	49.2	130	62	3	33	410	37	166	7.7e-27	122.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN6978_c0_g1_i6	0	99	0	344	105.5169642	-10.22226185	1.723837095	-5.929946562	3.03e-09	1.65e-06	sp	P43508	CPR4_CAEEL	34.3	289	149	11	140	943	67	335	7.4e-37	158.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2093_c0_g1_i6	0	98	2	57	40.49423852	-6.439239217	1.578319935	-4.079806047	4.51e-05	0.002613624	sp	P0C5P9	YL54B_YEAST	81.2	32	6	0	386	291	21	52	1e-06	55.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN484_c0_g1_i4	14	0	89	0	23.07714576	7.96852488	2.276302773	3.500643665	0.000464136	0.014601952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN133_c3_g1_i23	0	61	0	35	24.82582525	-8.133036268	2.112517377	-3.849926329	0.000118153	0.005344753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5910_c0_g1_i10	0	21	0	48	16.71146427	-7.56372408	2.332122457	-3.243279124	0.001181624	0.027642121	sp	Q9USM5	UBP1_SCHPO	28	599	379	18	4685	6391	273	849	1.1e-47	194.9	UBP1_SCHPO	reviewed	Probable ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1)	ubp1 SPCC16A11.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	849	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	endoplasmic reticulum [GO:0005783]	thiol-dependent ubiquitin-specific protease activity [GO:0004843]	endoplasmic reticulum [GO:0005783]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0005783; GO:0006511; GO:0016579
TRINITY_DN420_c0_g1_i11	0	24	0	37	15.04324183	-7.411520014	2.381543508	-3.112065763	0.001857831	0.037682828	sp	Q93Y52	IPYR1_CHLRE	31.3	243	136	8	142	831	39	263	1e-22	110.2	IPYR1_CHLRE	reviewed	Soluble inorganic pyrophosphatase 1, chloroplastic (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase 1) (PPase 1)	ppa1 ppaI	Chlamydomonas reinhardtii (Chlamydomonas smithii)	280	defense response to bacterium [GO:0042742]; phosphate-containing compound metabolic process [GO:0006796]; response to cadmium ion [GO:0046686]; response to salt stress [GO:0009651]	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; thylakoid [GO:0009579]	inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; thylakoid [GO:0009579]; inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; defense response to bacterium [GO:0042742]; phosphate-containing compound metabolic process [GO:0006796]; response to cadmium ion [GO:0046686]; response to salt stress [GO:0009651]	GO:0000287; GO:0004427; GO:0006796; GO:0009507; GO:0009570; GO:0009579; GO:0009651; GO:0009941; GO:0042742; GO:0046686
TRINITY_DN379_c0_g1_i11	0	18	0	107	29.2810709	-8.373359218	2.153264609	-3.888681021	0.00010079	0.004770167	sp	O01504	RLA2_CAEEL	55.4	65	29	0	178	372	1	65	7.8e-13	75.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2779_c0_g1_i9	82	490	48	276	230.4453908	-2.624985031	0.702994195	-3.734006694	0.000188457	0.007638748	sp	Q9QX67	DAP1_RAT	35	117	55	4	105	437	1	102	3.9e-06	55.8	DAP1_RAT	reviewed	Death-associated protein 1 (DAP-1) (Rap7a)	Dap Rap7a	Rattus norvegicus (Rat)	102	apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]		death domain binding [GO:0070513]	death domain binding [GO:0070513]; apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]	GO:0006914; GO:0010507; GO:0034198; GO:0070513; GO:0097190
TRINITY_DN13409_c0_g1_i6	0	32	0	66	23.84285862	-8.076318625	2.112075611	-3.823877603	0.000131369	0.005793214	sp	Q8WYR4	RSPH1_HUMAN	36.9	179	91	8	1874	2407	32	189	2.5e-19	100.1	RSPH1_HUMAN	reviewed	Radial spoke head 1 homolog (Cancer/testis antigen 79) (CT79) (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin) (Testis-specific gene A2 protein)	RSPH1 TSA2 TSGA2	Homo sapiens (Human)	309	axoneme assembly [GO:0035082]; meiotic cell cycle [GO:0051321]; spermatid development [GO:0007286]	condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; meiotic spindle [GO:0072687]; motile cilium [GO:0031514]; nucleus [GO:0005634]; outer dense fiber [GO:0001520]		condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; meiotic spindle [GO:0072687]; motile cilium [GO:0031514]; nucleus [GO:0005634]; outer dense fiber [GO:0001520]; axoneme assembly [GO:0035082]; meiotic cell cycle [GO:0051321]; spermatid development [GO:0007286]	GO:0000794; GO:0001520; GO:0005634; GO:0005829; GO:0007286; GO:0031514; GO:0035082; GO:0051321; GO:0072687
TRINITY_DN22168_c0_g1_i1	0	18	0	47	15.65434066	-7.469590872	2.388906288	-3.126782708	0.001767305	0.036265925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN34701_c0_g1_i4	0	51	0	34	21.83200828	-7.947778208	2.165858273	-3.669574462	0.000242955	0.009138887	sp	Q2HJ55	SAM50_BOVIN	42.9	466	242	5	109	1443	1	463	1.6e-101	371.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
